Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
FirstBlood,1ST,0.433972,452268.0,37129937.1626,0.24%,8.27%,25.72%
CloakCoin,CLOAK,7.20407,341410.0,36901879.171,-0.39%,3.31%,14.45%
WeTrust,TRST,0.400027,1293030.0,36861487.9825,-0.68%,-3.51%,55.90%
Moeda Loyalty...,MDA,1.87206,4181270.0,36746456.0693,-1.34%,0.79%,36.76%
Rise,RISE,0.324355,2060160.0,36697265.216,2.33%,9.40%,27.90%
TokenCard,TKN,1.54287,399928.0,36479704.5701,0.70%,14.56%,27.44%
Enigma,ENG,0.482384,1122730.0,36099771.5551,-2.42%,-0.57%,23.34%
Decentraland,MANA,0.0157807,587934.0,35881455.786,-1.34%,0.84%,18.32%
TaaS,TAAS,4.34042,500115.0,35357064.7029,0.25%,-1.98%,-1.78%
FedoraCoin,TIPS,7.80699e-05,1419.28,34598095.6877,3.01%,541.07%,351.94%
Bitdeal,BDL,0.195598,101922.0,34343838.7432,0.59%,-6.92%,1.70%
Gulden,NLG,0.0960514,166873.0,34285657.2089,0.45%,4.21%,11.93%
Modum,MOD,1.97046,1575700.0,34219402.452,-0.80%,0.19%,2.39%
AirSwap,AST,0.228018,2177540.0,34202700.0,-1.38%,3.20%,7.23%
ReddCoin,RDD,0.00116648,902148.0,33451143.0117,-5.42%,-4.34%,8.57%
NoLimitCoin,NLC2,0.158331,120915.0,32373297.7824,1.44%,-4.45%,-6.24%
ATBCoin,ATB,0.794535,2649080.0,31179517.8148,1.00%,8.54%,5.44%
Cobinhood,COB,0.119816,273468.0,30632446.5528,-4.46%,-6.44%,78.60%
OKCash,OK,0.417676,6679990.0,30629580.2901,-2.09%,2.78%,-7.51%
Cindicator,CND,0.0210722,476113.0,30469907.9067,5.18%,4.51%,39.07%
LEOcoin,LEO,0.318796,1056590.0,29921031.1432,0.06%,2.89%,2.16%
Agoras Tokens,AGRS,0.688004,2252660.0,28896168.0,8.38%,45.80%,84.65%
